headword,ecdict_phonetic,ecdict_pos_raw,ecdict_primary_pos,ecdict_definition_en,ecdict_translation_zh,ecdict_collins,ecdict_oxford,ecdict_tags,ecdict_bnc_rank,ecdict_frq_rank,ecdict_exchange,oxford_cefr_levels,oxford_pos_values,oxford_entry_count,webster_fallback_available,source_coverage,human_review,review_reason
activate,'æktiveit,,,v. make active or more active,"vt. 使活动, 使激活, 正式建成",1,F,ky toefl ielts,4543,6113,d:activated/i:activating/3:activates/p:activated,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
activation,ækti'veiʃәn,,,n. stimulation of activity in an organism or chemical,"n. 活化, 激活",,F,,9314,12945,,C1,n.,1,F,ECDICT|OXFORD_REPO,F,
active,'æktiv,,,n. a person who is a participating member of an organization,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的",4,T,zk gk cet4 ky toefl,1316,1444,s:actives,A2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
actively,'æktivli,,,r. in an active manner,"adv. 活跃地, 积极地",,T,toefl,4345,4307,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
activism,'æktivizm,,,n. a policy of taking direct and militant action to achieve a political or social goal,"n. 激进主义, 行动主义, 能动论",3,F,,20387,7096,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
activist,'æktivist,,,s. advocating or engaged in activism,n. 激进主义分子,,F,,4845,2595,s:activists,C1,n.,1,F,ECDICT|OXFORD_REPO,F,
activity,æk'tiviti,,,n. any specific behavior,"n. 活动, 行动, 活跃, 活力",4,T,zk gk cet4 ky ielts,412,537,s:activities,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
actor,'æktә,,,n. a theatrical performer,"n. 男演员, 行动者",3,T,gk cet4 ky ielts,2390,1497,s:actors,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
actress,'æktris,,,n. a female actor,n. 女演员,3,F,gk cet4 ky,4829,3236,s:actresses,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
actual,'æktʃuәl,,,a. presently existing in fact and not merely potential or possible,"a. 真实的, 实际的, 现行的",3,T,gk cet4 ky toefl,1396,1739,s:actuals,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
actually,'æktʃuәli,,,r. in actual fact,"adv. 事实上, 竟然, 如今, 现在",5,T,cet4 cet6 toefl,354,396,,A2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acute,ә'kju:t,,,a. having or experiencing a rapid onset and short but severe course,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的",2,F,gk cet4 cet6 ky toefl ielts gre,3249,5255,s:acutes/t:acutest,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acutely,ә'kju:tli,,,r. in an acute manner,"adv. 尖锐地, 剧烈地",1,F,,9516,11397,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ad,æd,,,n. a public promotion of some product or service,n. 广告,1,T,cet4,4324,1748,s:ads,B1,n.,1,F,ECDICT|OXFORD_REPO,F,
adam,'ædәm,,,n. (Old Testament) in Judeo-Christian mythology; the first man and the husband of Eve and the progenitor of the human race,n. 亚当,,F,,2439,,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adamant,'ædәmәnt,,,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill",n. 坚硬的东西,1,F,toefl gre,9491,11251,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adams,'ædәmz,,,n. American Revolutionary leader and patriot; an organizer of the Boston Tea Party and signer of the Declaration of Independence (1722-1803),[计] 先进数据管理系统,,F,,5767,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
adapt,ә'dæpt,,,"v. make fit for, or change to suit a new purpose","vt. 使适应, 改编",2,T,gk cet4 cet6 ky toefl ielts gre,2816,2933,d:adapted/i:adapting/p:adapted/3:adapts,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adaptation,.ædæp'teiʃәn,,,n. a written work (as a novel) that has been recast in a new form,"n. 适应, 改编, 改编本",1,F,gk toefl,5438,5196,s:adaptations,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adaptive,ә'dæptiv,,,a. having a capacity for adaptation,"a. 适应的, 能适应的",,F,toefl,13104,8259,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
add,æd,,,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of","vt. 增加, 添加, 附带说明, 计算...总和",5,T,zk gk cet4 ky,330,340,p:added/d:added/i:adding/3:adds,A1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
added,'ædid,,,"v make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",a. 额外的；更多的,1,F,,4299,4550,0:add/1:pd/d:added/p:added,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
addict,ә'dikt,,,n. someone who is so ardently devoted to something that it resembles an addiction,"vt. 使沉溺, 使上瘾",2,F,cet6 ky toefl ielts gre,10019,6091,d:addicted/s:addicts/i:addicting/p:addicted/3:addicts,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
addiction,ә'dikʃәn,,,n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs),"n. 入迷, 瘾",2,F,,7954,5177,s:addictions,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
addictive,ә'diktiv,,,a. causing or characterized by addiction,a. 上瘾的,1,F,toefl,8209,10283,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
addition,ә'diʃәn,,,n. a component that is added to something to improve it,"n. 加法, 增加的人(或物)",4,T,gk cet4 cet6 ky ielts gre,2841,2048,s:additions,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
additional,ә'diʃәnәl,,,s further or added,"a. 附加的, 另外的, 额外的",,T,cet4 cet6 ky toefl ielts,1310,1319,,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
additionally,,,,"r. in addition, by way of addition; furthermore","adv. 另外, 此外",1,F,,8030,5948,,B2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
address,ә'dres,,,n. (computer science) the code that identifies where a piece of information is stored,"n. 住址, 演说, 举止, 灵巧, 求爱",4,T,zk gk cet4 cet6 ky toefl ielts gre,1522,1028,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,A1|B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adequate,'ædikwәt,,,a. having the requisite qualities or resources to meet a task,"a. 适当的, 足够的",3,T,gk cet4 cet6 ky toefl ielts gre,2398,3297,,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adequately,'ædikwәtli,,,r. in an adequate manner or to an adequate degree,"adv. 足够地, 适当地",,T,,5277,6089,,B2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adhere,әd'hiә,,,v. be compatible or in accordance with,"vi. 依附, 粘着, 坚持, 追随, 拥护",2,F,cet4 cet6 ky toefl ielts gre,6380,6516,d:adhered/i:adhering/p:adhered/3:adheres,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adherence,әd'hiәrәns,,,n faithful support for a cause or political party or religion,"n. 依附, 固执, 坚持",,F,toefl,9968,9972,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adjacent,ә'dʒeisәnt,,,s. nearest in space or position; immediately adjoining without intervening space,"a. 毗连的, 邻近的, 连接的",1,F,cet6 ky toefl ielts gre,5391,6649,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adjective,'ædʒiktiv,,,n. a word that expresses an attribute of something,n. 形容词,1,F,cet4 ky,5838,10317,s:adjectives,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adjoining,ә'dʒɒiniŋ,,,v lie adjacent to another or share a boundary,"a. 邻接的, 毗连的",,F,toefl,8631,11972,i:adjoining/0:adjoining/1:i,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adjourn,ә'dʒә:n,,,v. close at the end of a session,"vi. 休会, 换地方",1,F,toefl gre,7273,16425,d:adjourned/p:adjourned/i:adjourning/s:adjourns/3:adjourns,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adjust,ә'dʒʌst,,,v. alter or regulate so as to achieve accuracy or conform to a standard,"vt. 调整, 使适应于, 校准",3,T,gk cet4 cet6 ky toefl ielts gre,2811,2300,d:adjusted/i:adjusting/p:adjusted/3:adjusts,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adjustment,ә'dʒʌstmәnt,,,n. making or becoming suitable; adjusting to circumstances,"n. 调整, 调节, 校正",,F,gk toefl,3424,3121,s:adjustments,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
administer,әd'ministә,,,v. work in an administrative capacity; supervise or be in charge of,"vt. 管理, 料理, 执行",2,F,ky toefl ielts,3700,3661,d:administered/i:administering/3:administers/p:administered,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
administration,әd.mini'streiʃәn,,,n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs),"n. 行政, 管理, 政府机关",4,F,gk cet4 cet6 ky toefl ielts,1383,635,s:administrations,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
administrative,әd'ministrәtiv,,,a. of or relating to or responsible for administration,"a. 管理的, 行政的",2,F,toefl,2448,3510,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
administrator,әd'ministreitә,,,n. someone who administers a business,"n. 管理人, 行政官",2,F,toefl ielts,4362,2484,s:administrators,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
admirable,'ædmәrәbl,,,s. deserving of the highest esteem or admiration,"a. 可钦佩的, 极好的, 令人惊奇的",2,F,gk toefl,8547,10469,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
admiral,'ædmәrәl,,,n. the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral,"n. 舰队司令, 海军上将, 旗舰",2,F,,6644,10814,s:admirals,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
admiration,.ædmә'reiʃәn,,,n. a feeling of delighted approval and liking,"n. 赞赏, 钦佩, 引人赞赏的对象",,T,cet6 toefl,5612,6964,s:admirations,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
admire,әd'maiә,,,v. feel admiration for,"vt. 赞美, 钦佩, 爱慕",3,T,gk cet4 ky toefl gre,3283,3277,p:admired/d:admired/i:admiring/3:admires,B1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
admirer,әd'maiәrә,,,n. a person who admires; someone who esteems or respects or approves,"n. 钦佩者, 仰慕者, 求爱者",,F,,8685,9570,s:admirers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
admission,әd'miʃәn,,,n. the act of admitting someone to enter,"n. 准许进入, 入场费, 录用, 承认",2,F,gk cet4 cet6 ky toefl ielts gre,2768,3031,s:admissions,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
admit,әd'mit,,,v. declare to be true or admit the existence or reality or truth of,"vt. 承认, 接受, 允许进入, 容许",4,T,gk cet4 ky toefl,887,1089,p:admitted/d:admitted/3:admits/i:admitting,B1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
admittedly,әd'mitidli,,,r as acknowledged,"adv. 公认地, 诚然",1,F,toefl,6846,8927,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adolescence,.ædәu'lesәns,,,n. the time period between the beginning of puberty and adulthood,n. 青春期,1,F,gk ielts,8812,6897,s:adolescences,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adolescent,.ædәu'lesәnt,,,n. a juvenile between the onset of puberty and maturity,"a. 青春期的, 青少年的",2,F,gk cet6 ky toefl gre,8678,3386,s:adolescents,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adopt,ә'dɒpt,,,"v. choose and follow; as of theories, ideas, policies, strategies or plans","vt. 采用, 正式通过, 收养, 接受",4,T,gk cet4 cet6 ky toefl ielts gre,1157,1632,d:adopted/p:adopted/i:adopting/3:adopts,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adoption,ә'dɒpʃәn,,,n. the act of accepting with approval; favorable reception,"n. 采用, 采纳, 收养",,F,cet6 toefl,4220,3674,s:adoptions,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adore,ә'dɒ:,,,v. love intensely,"vt. 崇拜, 爱慕, 喜爱",2,F,gk cet6 ky toefl ielts gre,8708,7705,p:adored/3:adores/d:adored/i:adoring,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adorn,ә'dɒ:n,,,"v make more attractive by adding ornament, colour, etc.","vt. 装饰, 使生色",1,F,toefl gre,8692,8007,d:adorned/p:adorned/i:adorning/3:adorns,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adrian,'eidriәn,,,n. English physiologist who conducted research into the function of neurons; 1st baron of Cambridge (1889-1997),n. 艾德里安（男子名）；艾德里安市（美国密歇根州东南部城市）,,F,,6204,,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adult,'ædʌlt,,,n. a fully developed person from maturity onward,"n. 成人, 成虫",4,T,gk cet4 ky ielts,1236,969,s:adults,A1|A2,adj.|n.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adulthood,ә'dʌlthud,,,n. the period of time in your life after your physical growth has stopped and you are fully developed,n. 成年,,F,,11718,7780,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
advance,әd'vɑ:ns,,,n. an amount paid before it is earned,"n. 前进, 进展, 行过的路程",4,T,gk cet4 cet6 ky toefl,1880,2296,s:advances/d:advanced/p:advanced/i:advancing/3:advances,B2,adj.|n.|v.,3,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advanced,әd'vɑ:nst,,,s. farther along in physical or mental development,"a. 在前的, 高级的, 先进的, 年老的",3,T,cet4 ky toefl ielts,2557,2797,0:advance/1:dp/p:advanced/d:advanced,B1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advancement,әd'vɑ:nsmәnt,,,n. gradual improvement or growth or development,"n. 前进, 进步, 提升",1,F,toefl,8724,6629,s:advancements,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advancing,æd'vɑ:nsiŋ,,,s. moving forward,[计] 导前,,F,,9486,9272,0:advance/1:i/i:advancing,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advantage,әd'vɑ:ntidʒ,,,n. the quality of having a superior or more favorable position,"n. 优点, 便利, 好处, 优势",4,T,zk gk cet4 ky,969,1301,s:advantages/d:advantaged/i:advantaging/p:advantaged/3:advantages,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advent,'ædvәnt,,,n. arrival that has been awaited (especially of something momentous),"n. 来到, 来临",1,F,ky toefl ielts gre,6412,8129,s:advents,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adventure,әd'ventʃә,,,n. a wild and exciting undertaking (not necessarily lawful),"n. 冒险, 冒险经历",2,T,gk cet4 ky toefl,3561,2862,s:adventures/i:adventuring/p:adventured/3:adventures/d:adventured,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adventurer,әd'ventʃәrә,,,n. a person who enjoys taking risks,"n. 冒险家, 投机者",1,F,toefl,8266,13381,s:adventurers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adventurous,әd'ventʃәrәs,,,a. willing to undertake or seeking out new and daring enterprises,"a. 喜欢冒险的, 有进取心的, 危险的",1,F,toefl,8490,10890,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adversary,'ædvәsәri,,,n. someone who offers opposition,"n. 敌手, 对手",1,F,,9853,7244,s:adversaries,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
adverse,'ædvә:s,,,s. contrary to your interests or welfare,"a. 不利的, 敌对的, 相反的, 逆的",2,F,cet6 ky toefl ielts gre,5120,6307,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advert,әd'vә:t,,,n a public promotion of some product or service,"vi. 提出看法, 引起注意, 留意",2,F,gre,6099,35264,s:adverts/d:adverted/p:adverted/i:adverting/3:adverts,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advertise,'ædvәtaiz,,,v. call attention to,"vt. 做广告, 通知, 公布",3,T,gk cet4 cet6 ky ielts gre,4085,5124,d:advertised/p:advertised/i:advertising/3:advertises,A2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advertisement,.ædvә'taizmәnt,,,n a public promotion of some product or service,"n. 广告, 启事, 广告宣传",2,T,zk gk cet4 ielts,3277,5957,s:advertisements,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advertiser,'ædvәtaizә,,,n. someone whose business is advertising,"n. 做广告者, 广告客户",,F,,8782,7638,s:advertisers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advertising,'ædvәtaiziŋ,,,n. the business of drawing public attention to goods and services,"n. 广告业, 广告",,T,ielts,2180,2640,i:advertising/0:advertising/1:i,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advice,әd'vais,,,n. a proposal for an appropriate course of action,"n. 忠告, 劝告, 意见, 报道, 通知",4,T,zk gk cet4 cet6 ky toefl ielts,962,1641,,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
advisable,әd'vaizәbl,,,a. worthy of being recommended or suggested; prudent or wise,"a. 适当的, 明智的",1,F,cet4 cet6 ky toefl gre,8630,18573,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advise,әd'vaiz,,,v. inform (somebody) of something,"vt. 劝告, 给...出主意, 通知, 建议",3,T,zk gk cet4 cet6 ky toefl,1728,2552,d:advised/p:advised/i:advising/3:advises,B1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
adviser,әd'vaizә,,,n. an expert who gives advice,"n. 顾问, 劝告者, 指导教师",3,F,,2553,2720,s:advisers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advisor,әd'vaizә,,,n an expert who gives advice,"n. 顾问, 劝告者, 指导教师",,F,,8836,5896,s:advisors,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
advisory,әd'vaizәri,,,n. an announcement that usually advises or warns the public of some threat,"a. 顾问的, 咨询的, 劝告的",2,F,,4233,5108,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advocacy,'ædvәkәsi,,,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术",1,F,gre,10533,5074,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
advocate,'ædvәkeit,,,n. a person who pleads for a cause or propounds an idea,"n. 提倡者, 拥护者",3,F,gk cet4 cet6 ky toefl ielts gre,4031,2623,d:advocated/s:advocates/i:advocating/p:advocated/3:advocates,C1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aea,,,,,abbr. 原子能法（Atomic Energy Authority）；演员协会（Actors ' Equity Association）；美国经济协会（American Economic Association）；成人教育协会（Adult Education Association）；美国教育协会（American Education Association）,,F,,9428,,s:aeas,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
aerial,'єәriәl,,,a. existing or living or growing or operating in the air,"a. 空中的, 航空的, 空气的, 空想的",1,F,cet6 ky ielts gre,7551,7339,s:aerials,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aerobic,єә'rәubik,,,a. depending on free oxygen or air,"a. 需氧的, 需氧菌产生的, 增氧健身法的",,F,,16549,8770,s:aerobics,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
aeroplane,'єәrәplein,,,n an aircraft that has a fixed wing and is powered by propellers or jets,n. 飞机,2,F,gk cet4 cet6 ky,6392,30278,s:aeroplanes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aerospace,'єәrәuspeis,,,n. the atmosphere and outer space considered as a whole,"n. 航天空间, 航天技术",2,F,cet6,6792,8798,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
aesthetic,i:s'θetik,,,n. (philosophy) a philosophical theory as to what is beautiful,"a. 美学的, 审美的, 有美感的",2,F,cet6 ky toefl ielts gre,5161,4296,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aesthetics,i:s'θetiks,,,n. (art) the branch of philosophy dealing with beauty and taste (emphasizing the evaluative criteria that are applied to art),n. 美学,1,F,,12306,9286,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
affair,ә'fєә,,,n. a usually secretive or illicit sexual relationship,"n. 事件, 事务, 恋爱事件",4,T,gk cet4 cet6 ky toefl,941,1364,s:affairs,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
